cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,interactions,point,pareto
8,4,0,2019-02-04 15:33:00,-46.55923441955649,-23.51041344798837,10,5,2019-02-04 06:25:00,31,41,72,POINT (-46.55923441955649 -23.51041344798837),10.813953488372093
11,1,0,2019-02-04 09:14:00,-46.562945499999984,-23.523829249999995,8,5,2019-02-04 04:45:00,6,4,10,POINT (-46.56294549999998 -23.52382925),63.02325581395349
36,2,0,2019-02-04 09:15:00,-46.55592466666667,-23.526083333333332,9,5,2019-02-04 07:44:00,7,3,10,POINT (-46.55592466666667 -23.52608333333333),62.44186046511628
52,0,0,2019-02-04 05:10:00,-46.55952999999999,-23.510697999999977,5,5,2019-02-04 03:18:00,0,2,2,POINT (-46.55952999999999 -23.51069799999998),91.62790697674419
83,5,0,2019-02-04 17:21:00,-46.55612786157018,-23.525813737603308,10,5,2019-02-04 10:47:00,33,2,35,POINT (-46.55612786157018 -23.52581373760331),26.046511627906977
117,2,0,2019-02-04 14:07:00,-46.563731500000024,-23.523924499999985,10,5,2019-02-04 12:21:00,8,2,10,POINT (-46.56373150000002 -23.52392449999999),64.76744186046511
149,0,0,2019-02-04 03:48:00,-46.56030999999998,-23.523985000000017,5,5,2019-02-04 02:47:00,0,1,1,POINT (-46.56030999999998 -23.52398500000002),99.88372093023256
196,0,0,2019-02-04 04:40:00,-46.55939399999993,-23.52141400000004,6,5,2019-02-04 03:20:00,0,1,1,POINT (-46.55939399999993 -23.52141400000004),99.01162790697674
200,5,0,2019-02-04 07:39:00,-46.561337000000066,-23.515139999999978,10,5,2019-02-04 05:38:00,12,1,13,POINT (-46.56133700000007 -23.51513999999998),57.151162790697676
204,4,0,2019-02-04 06:15:00,-46.556503000000006,-23.525399,10,5,2019-02-04 05:37:00,9,1,10,POINT (-46.55650300000001 -23.525399),64.18604651162791
253,0,0,2019-02-04 08:27:00,-46.56284500000002,-23.519385,5,5,2019-02-04 08:08:00,0,1,1,POINT (-46.56284500000002 -23.519385),97.20930232558139
