"uuid","start_time","end_time","location_x","location_y","reliability_min","reliability_max","confidence_min","confidence_max","thumbs_up"
"1502b430-6a10-30a5-838f-8e2558f1278d","2019-02-04 04:32:00.000 America/Sao_Paulo","2019-02-04 05:32:00.000 America/Sao_Paulo","-46.59784599999999","-23.589048999999996","5","5","0","0","0"
"c0d05331-f674-38e1-be03-e3e381cc56f6","2019-02-04 06:14:00.000 America/Sao_Paulo","2019-02-04 07:23:00.000 America/Sao_Paulo","-46.627209000000086","-23.54251900000002","5","6","0","0","1"
"12f179a6-2785-3464-b7ba-e3bdc97f011c","2019-02-04 05:14:00.000 America/Sao_Paulo","2019-02-04 07:38:00.000 America/Sao_Paulo","-46.600856000000014","-23.620926000000043","5","10","0","5","10"
"aca8e63c-0571-3ad1-a49f-67b3a96bf1ec","2019-02-04 06:14:00.000 America/Sao_Paulo","2019-02-04 07:36:00.000 America/Sao_Paulo","-46.49654899999997","-23.58274899999997","5","6","0","0","0"
"18881355-0b03-3f59-8471-d10f20a2a767","2019-02-04 02:56:00.000 America/Sao_Paulo","2019-02-04 03:56:00.000 America/Sao_Paulo","-46.620492000000006","-23.55241299999997","5","5","0","0","0"
"f45c7687-deff-3117-86b8-106e1848a5ba","2019-02-04 02:23:00.000 America/Sao_Paulo","2019-02-04 03:23:00.000 America/Sao_Paulo","-46.60114100000006","-23.622144","5","9","0","2","4"
"21368a92-6ade-34c0-9e83-917072466a15","2019-02-04 03:12:00.000 America/Sao_Paulo","2019-02-04 05:26:00.000 America/Sao_Paulo","-46.60839200000007","-23.522312000000046","5","10","0","3","6"
"c6624d88-85f2-3c21-9553-31535a5cf0c8","2019-02-04 12:53:00.000 America/Sao_Paulo","2019-02-04 14:20:00.000 America/Sao_Paulo","-46.55931300000009","-23.509964000000036","5","6","0","0","0"
"2e6e8dc5-a019-3010-a992-dd7688ab2a94","2019-02-04 08:02:00.000 America/Sao_Paulo","2019-02-04 09:02:00.000 America/Sao_Paulo","-46.478634999999954","-23.515384999999988","5","5","0","0","0"
"6eb268c0-38d0-3aaa-8c5a-c4de747bde23","2019-02-04 08:02:00.000 America/Sao_Paulo","2019-02-04 09:23:00.000 America/Sao_Paulo","-46.581580000000024","-23.456533999999973","5","6","0","0","1"
