cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,point
1,0,0,2018-10-16 17:32:00,-56.166168,-34.905715,5,5,2018-10-16 17:16:00,0,1,POINT (-56.166168 -34.905715)
2,4,0,2018-10-16 17:52:00,-56.1182135384615,-34.8974066923077,10,5,2018-10-16 17:27:00,9,1,POINT (-56.1182135384615 -34.8974066923077)
3,0,0,2018-10-16 19:06:00,-56.165986,-34.886341,5,5,2018-10-16 18:54:00,0,1,POINT (-56.165986 -34.886341)
4,0,0,2018-10-16 19:56:00,-56.102499,-34.886055,5,5,2018-10-16 19:53:00,0,1,POINT (-56.102499 -34.886055)
5,0,0,2018-10-16 19:56:00,-56.097874,-34.88457,5,5,2018-10-16 19:56:00,0,1,POINT (-56.097874 -34.88457)
6,0,0,2018-10-16 21:26:00,-56.166574,-34.865046,5,5,2018-10-16 21:05:00,0,1,POINT (-56.166574 -34.865046)
7,0,0,2018-10-17 08:18:00,-56.164065,-34.886013,6,6,2018-10-17 07:54:00,1,1,POINT (-56.164065 -34.886013)
8,0,0,2018-10-17 08:38:00,-56.10104,-34.890499500000004,7,5,2018-10-17 08:22:00,1,2,POINT (-56.10104 -34.8904995)
9,2,0,2018-10-17 12:07:00,-56.1182444,-34.894228999999996,9,5,2018-10-17 08:41:00,4,5,POINT (-56.1182444 -34.894229)
10,0,0,2018-10-17 09:33:00,-56.185758,-34.872132,6,5,2018-10-17 09:16:00,1,1,POINT (-56.185758 -34.872132)
11,1,0,2018-10-17 10:04:00,-56.135642,-34.909807,8,5,2018-10-17 09:37:00,3,1,POINT (-56.135642 -34.909807)
12,0,0,2018-10-17 13:07:00,-56.189674,-34.889895,6,5,2018-10-17 12:45:00,0,1,POINT (-56.189674 -34.889895)
13,0,0,2018-10-17 14:08:00,-56.168466,-34.863435,6,5,2018-10-17 13:48:00,0,1,POINT (-56.168466 -34.863435)
14,0,0,2018-10-17 14:14:00,-56.130717,-34.886887,6,5,2018-10-17 14:00:00,0,1,POINT (-56.130717 -34.886887)
15,0,0,2018-10-17 15:35:00,-56.152443,-34.875538,5,5,2018-10-17 15:20:00,0,1,POINT (-56.152443 -34.875538)
16,0,0,2018-10-17 16:20:00,-56.123833,-34.901308,6,5,2018-10-17 16:06:00,1,1,POINT (-56.123833 -34.901308)
17,0,0,2018-10-17 17:03:00,-56.186316,-34.902849,5,5,2018-10-17 16:50:00,0,1,POINT (-56.186316 -34.902849)
18,2,0,2018-10-17 17:42:00,-56.178124,-34.904988,9,5,2018-10-17 17:04:00,4,1,POINT (-56.178124 -34.904988)
19,0,0,2018-10-17 17:45:00,-56.173917,-34.894424,7,5,2018-10-17 17:24:00,1,1,POINT (-56.173917 -34.894424)
20,2,0,2018-10-17 19:30:00,-56.1401015,-34.886502,10,5,2018-10-17 18:26:00,7,4,POINT (-56.1401015 -34.886502)
